"","year","division","counts","type"
"1",2014,"D11",433,"MHA"
"2",2014,"D12",393,"MHA"
"3",2014,"D13",310,"MHA"
"4",2014,"D14",688,"MHA"
"5",2014,"D22",452,"MHA"
"6",2014,"D23",369,"MHA"
"7",2014,"D31",441,"MHA"
"8",2014,"D32",577,"MHA"
"9",2014,"D33",357,"MHA"
"10",2014,"D41",404,"MHA"
"11",2014,"D42",373,"MHA"
"12",2014,"D43",463,"MHA"
"13",2014,"D51",616,"MHA"
"14",2014,"D52",365,"MHA"
"15",2014,"D53",376,"MHA"
"16",2014,"D54",383,"MHA"
"17",2014,"D55",377,"MHA"
"18",2014,"NSA",16,"MHA"
"19",2015,"D11",464,"MHA"
"20",2015,"D12",418,"MHA"
"21",2015,"D13",292,"MHA"
"22",2015,"D14",757,"MHA"
"23",2015,"D22",511,"MHA"
"24",2015,"D23",461,"MHA"
"25",2015,"D31",466,"MHA"
"26",2015,"D32",538,"MHA"
"27",2015,"D33",350,"MHA"
"28",2015,"D41",522,"MHA"
"29",2015,"D42",426,"MHA"
"30",2015,"D43",528,"MHA"
"31",2015,"D51",718,"MHA"
"32",2015,"D52",432,"MHA"
"33",2015,"D53",408,"MHA"
"34",2015,"D54",410,"MHA"
"35",2015,"D55",443,"MHA"
"36",2015,"NSA",20,"MHA"
"37",2016,"D11",492,"MHA"
"38",2016,"D12",458,"MHA"
"39",2016,"D13",322,"MHA"
"40",2016,"D14",1001,"MHA"
"41",2016,"D22",551,"MHA"
"42",2016,"D23",459,"MHA"
"43",2016,"D31",499,"MHA"
"44",2016,"D32",632,"MHA"
"45",2016,"D33",396,"MHA"
"46",2016,"D41",473,"MHA"
"47",2016,"D42",434,"MHA"
"48",2016,"D43",622,"MHA"
"49",2016,"D51",889,"MHA"
"50",2016,"D52",469,"MHA"
"51",2016,"D53",544,"MHA"
"52",2016,"D54",426,"MHA"
"53",2016,"D55",394,"MHA"
"54",2016,"NSA",61,"MHA"
"55",2017,"D11",475,"MHA"
"56",2017,"D12",508,"MHA"
"57",2017,"D13",387,"MHA"
"58",2017,"D14",1038,"MHA"
"59",2017,"D22",502,"MHA"
"60",2017,"D23",525,"MHA"
"61",2017,"D31",558,"MHA"
"62",2017,"D32",642,"MHA"
"63",2017,"D33",483,"MHA"
"64",2017,"D41",591,"MHA"
"65",2017,"D42",461,"MHA"
"66",2017,"D43",619,"MHA"
"67",2017,"D51",947,"MHA"
"68",2017,"D52",513,"MHA"
"69",2017,"D53",564,"MHA"
"70",2017,"D54",516,"MHA"
"71",2017,"D55",451,"MHA"
"72",2017,"NSA",37,"MHA"
"73",2018,"D11",522,"MHA"
"74",2018,"D12",514,"MHA"
"75",2018,"D13",369,"MHA"
"76",2018,"D14",1157,"MHA"
"77",2018,"D22",540,"MHA"
"78",2018,"D23",590,"MHA"
"79",2018,"D31",617,"MHA"
"80",2018,"D32",686,"MHA"
"81",2018,"D33",502,"MHA"
"82",2018,"D41",606,"MHA"
"83",2018,"D42",459,"MHA"
