"","year","division","arrest_count"
"1",2019,"D14",1
"2",2022,"D12",2
"3",2018,"D14",1
"4",2015,"D22",3
"5",2014,"D52",46
"6",2015,"D14",2
"7",2019,"D43",2
"8",2018,"D43",1
"9",2020,"D22",5
"10",2020,"D31",1
"11",2021,"D52",9
"12",2016,"D43",1
"13",2020,"D33",3
"14",2021,"D55",1
"15",2021,"D32",18
"16",2020,"D41",3
"17",2021,"D11",2
"18",2014,"D43",1
"19",2018,"D55",1
"20",2020,"D14",1
"21",2017,"D41",7
"22",2022,"D22",1
"23",2016,"D42",11
"24",2021,"D55",11
"25",2019,"D14",1
"26",2015,"D42",7
"27",2020,"NSA",2
"28",2019,"D12",1
"29",2016,"D51",3
"30",2014,"D22",2
"31",2015,"D42",4
"32",2018,"D53",1
"33",2019,"D55",6
"34",2017,"D43",4
"35",2019,"D22",1
"36",2016,"D43",9
"37",2017,"D41",2
"38",2017,"D51",12
"39",2014,"D13",1
"40",2021,"D43",8
"41",2014,"D31",2
"42",2015,"D41",46
"43",2014,"D32",1
"44",2020,"D12",1
"45",2022,"D12",1
"46",2017,"D42",2
"47",2018,"D55",3
"48",2018,"D42",2
"49",2022,"D22",4
"50",2014,"D11",1
"51",2022,"D22",3
"52",2014,"D55",1
"53",2018,"D55",2
"54",2016,"D53",1
"55",2020,"D51",1
"56",2021,"D12",4
"57",2018,"D55",8
"58",2016,"D55",1
"59",2018,"D41",1
"60",2020,"D12",1
"61",2018,"D33",1
"62",2018,"D33",4
"63",2014,"D11",3
"64",2017,"D55",1
"65",2017,"D22",2
"66",2014,"D43",1
"67",2018,"D13",4
"68",2015,"D41",3
"69",2021,"D14",39
"70",2018,"D14",1
"71",2019,"D32",2
"72",2020,"D33",1
"73",2020,"D55",6
"74",2019,"D41",5
"75",2020,"D11",3
"76",2018,"D14",1
"77",2020,"D42",2
"78",2021,"D41",3
"79",2017,"D14",1
"80",2015,"D52",3
"81",2022,"D33",2
"82",2017,"D41",1
"83",2017,"D33",5
"84",2022,"NSA",4
"85",2017,"D12",4
"86",2018,"D14",2
"87",2016,"D42",2
"88",2015,"D53",1
"89",2018,"D22",10
"90",2022,"D55",14
"91",2017,"D42",4
"92",2018,"D41",1
"93",2020,"D22",3
"94",2021,"D23",9
"95",2014,"D12",1
"96",2014,"D55",1
"97",2021,"D42",3
"98",2016,"D23",1
"99",2019,"D51",3
"100",2015,"D11",8
"101",2021,"D13",1
"102",2018,"D12",1
"103",2015,"D22",1
"104",2016,"D51",1
"105",2016,"D43",3
"106",2021,"D55",1
"107",2020,"D43",4
"108",2020,"D53",1
"109",2021,"D43",1
"110",2016,"D11",3
"111",2018,"D41",2
"112",2015,"D53",5
"113",2022,"D53",1
"114",2018,"D22",11
"115",2018,"D14",1
"116",2017,"D55",1
"117",2022,"D22",1
"118",2014,"D12",1
"119",2022,"D13",2
"120",2015,"D13",2
"121",2016,"D55",1
"122",2018,"D55",3
"123",2015,"D14",2
"124",2020,"D12",3
"125",2018,"D55",1
"126",2016,"D43",1
"127",2016,"D13",1
"128",2015,"D23",5
"129",2019,"D11",3
"130",2014,"D52",1
"131",2020,"D55",4
"132",2016,"D12",3
"133",2020,"D14",3
"134",2021,"D42",1
"135",2016,"D12",12
"136",2014,"D43",2
"137",2015,"D11",3
"138",2017,"D22",6
"139",2019,"D32",2
"140",2020,"D42",1
"141",2016,"D31",1
"142",2018,"D43",2
"143",2022,"D31",4
"144",2016,"D43",1
"145",2022,"D11",8
"146",2022,"D51",3
"147",2018,"D51",3
"148",2016,"D31",2
"149",2022,"D32",6
"150",2021,"D11",1
"151",2015,"D31",1
"152",2017,"NSA",2
"153",2020,"D43",2
"154",2015,"D22",1
"155",2020,"D53",11
"156",2019,"D32",2
"157",2022,"D12",1
"158",2017,"D12",2
"159",2022,"D11",7
"160",2019,"D52",263
"161",2020,"D43",3
"162",2014,"D41",1
"163",2022,"D52",2
"164",2015,"D31",1
"165",2018,"D53",1
"166",2014,"D12",1
"167",2021,"D31",3
"168",2020,"D23",5
"169",2016,"D55",1
"170",2021,"D11",5
"171",2016,"D51",2
"172",2021,"D13",1
"173",2019,"D31",1
"174",2017,"D12",2
"175",2022,"D14",1
"176",2018,"D13",1
"177",2021,"D32",6
"178",2020,"D32",1
"179",2021,"D13",5
"180",2017,"D43",1
"181",2017,"D31",3
"182",2018,"D13",3
"183",2017,"D22",7
"184",2016,"D41",2
"185",2015,"D55",4
"186",2015,"D41",8
"187",2014,"D41",8
"188",2019,"D31",3
"189",2018,"D22",1
"190",2022,"D12",21
"191",2020,"D41",3
"192",2022,"D55",1
"193",2018,"D51",7
"194",2014,"D42",3
"195",2016,"D11",6
"196",2017,"D12",1
"197",2022,"D55",1
"198",2017,"D55",6
"199",2020,"D51",4
"200",2015,"D43",2
"201",2019,"D41",8
"202",2018,"D51",2
"203",2021,"D41",3
"204",2019,"D12",1
"205",2022,"D42",2
"206",2021,"D22",1
"207",2015,"D22",1
"208",2015,"D41",15
"209",2014,"D33",4
"210",2014,"D23",1
"211",2022,"D41",1
"212",2018,"D55",1
"213",2020,"D14",3
"214",2016,"D33",3
"215",2018,"D14",7
"216",2015,"D11",2
"217",2019,"D41",1
"218",2016,"D14",2
"219",2014,"D11",2
"220",2020,"D53",1
"221",2014,"D32",2
"222",2016,"D11",9
"223",2016,"D43",1
"224",2016,"D13",1
"225",2016,"D12",13
"226",2018,"D42",1
"227",2018,"D11",1
"228",2014,"D14",5
"229",2018,"D32",1
"230",2016,"D55",4
"231",2015,"D22",2
"232",2017,"D55",1
"233",2017,"D31",3
"234",2016,"D32",1
"235",2017,"D53",1
"236",2021,"D51",1
"237",2015,"D31",29
"238",2022,"D33",3
"239",2015,"D41",2
"240",2021,"D32",1
"241",2022,"D22",2
"242",2022,"D14",10
"243",2018,"D53",1
"244",2020,"D53",2
"245",2016,"D55",1
"246",2021,"NSA",2
"247",2014,"D14",1
"248",2016,"D33",1
"249",2020,"D52",2
"250",2020,"D12",10
"251",2018,"D43",1
"252",2019,"D11",1
"253",2021,"D53",2
"254",2015,"D41",9
"255",2022,"D42",1
"256",2021,"D32",1
"257",2018,"D55",1
"258",2020,"D52",1
"259",2019,"D55",8
"260",2015,"D43",3
"261",2014,"D52",1
"262",2016,"D22",1
"263",2019,"D42",1
"264",2019,"D41",1
"265",2017,"D53",1
"266",2018,"D33",1
"267",2016,"D55",1
"268",2022,"D32",1
"269",2017,"D51",2
"270",2016,"D22",2
"271",2018,"D41",2
"272",2017,"D42",1
"273",2015,"D11",1
"274",2017,"D31",2
"275",2014,"D41",1
"276",2020,"D32",1
"277",2015,"D55",2
"278",2017,"D51",1
